"CONTENTS_SEQ","CONTENTS_TITLE","CONTENTS_SYNOPSIS","CONTENTS_GENRE","AGE_RATING","RELEASE_YEAR","RATING","POSTER_IMG","DIRECTOR","CAST","OTT"
"11","2001 스페이스 오디세이","두 명의 우주인이 우주 곳곳에서 발견되는 의문의 돌기둥을 조사하면서 우주선의 인공지능 컴퓨터와 맞서 싸운다.","드라마","12세 이상 관람가","1968","4.3","https://file.kinolights.com/m/content_poster/202307/12/40f4f1c7-7c80-498f-9436-e8f7d42b80cf.webp","스탠리 큐브릭","케어 둘리, 게리 록우드","쿠팡플레이"
"12","2046","첫 번째 사랑 이야기 - 지독히 사랑했기에 다시는 사랑할 수 없는 남자와 절망적인 사랑의 열병에 빠져버린 여자. 기자이자 작가인 차우는 리첸과의 기억을 되살리게 만드는 호텔 2046호에 머무려고 하지만, 그 방에선 묘령의 여인이 스스로 목숨을 끊는 일이 발생해 그 옆방에 투숙하게 된다. 며칠 후, 2046호에 고급콜걸인 바이 링이 투숙하고 차우의 관심을 끌게 된다. 장난처럼 시작된 둘의 관계는 점차 바이 링의 헌신적인 사랑으로 발전하지만 더 이상 아무도 사랑할 수 없는 차우는 끝없이 다른 여자를 탐하며 바이 링에게 육체적인 유희만을 요구한다.
두 번째 사랑 이야기 - 과거의 아픔을 가진 남자와 현실의 아픔을 겪는 여자. 바이 링이 떠난 후 차우는 호텔주인의 딸 왕징웬의 도움을 받아 미래도시 2046에 대한 소설을 쓰기 시작 한다. 왕징웬은 부모의 반대로 사랑하는 남자와 헤어져 몸도 마음도 슬픔의 병을 앓게 된 여자. 차우는 그녀가 남자친구와 다시 만날 수 있도록 도와주면서 그녀와 가까워진다.
세 번째 사랑 이야기 - 사랑의 상처를 가진 남자, 여자… 그리고 그 치유의 과정. 미래의 소설을 쓰면서 자신의 과거를 떠올리게 된 차우는 예전의 기억을 떠올린다. 떠났다가 다시 돌아온 자신을 받아들이지 못하는 도박사 수리첸. 그녀를 회상하던 차우는 동시에, 예전의 그가 그랬던 것처럼 다른 사랑을 돌아볼 여유가 없는 왕징웬에 대해 사랑하는 감정을 가지게 된다. 현실에서 세 번의 이루어지지 않은 사랑을 맞이했던 차우는 소설 속에서 또 다른 아픈 사랑에 대해서 이야기한다.
또 다른 사랑 이야기 - 2046, 그 곳에 가면 그가 잃어버린 사랑을 다시 만날 수 있을까? 소설 속에서 사람들은 몸 속에 마이크로 칩을 장착하고 살아가고, 안드로이드들은 기억력의 부재를 겪는다. 과거에 살고 있는 사람들은 하나 같이 잃어버린 기억을 되찾기 위해 2046을 향하는 열차를 탄다. 하지만 그것이 진실인지는 아무도 모른다. 왜냐하면 그 곳에 갔다가 되돌아온 사람이 아무도 없기 때문이다. 2046으로 가는 기차 안에 서서 일본인 남자 탁은 아름답고 따뜻한 몸을 가진 안드로이드를 만나 사랑에 빠진다. 그녀에게 함께 떠나기를 부탁하지만 그녀는 다른 곳을 쳐다보고 있을 뿐이다. 몸은 그와 함께 있지만 그녀에게 탁의 부탁이 전혀 들리지 않는 것 같다.","드라마, 로맨스","청소년 관람불가","2004","3.4","https://file.kinolights.com/m/content_poster/202307/12/b27b59bc-81e7-4bf8-b82a-616ca596fbae.webp","왕가위","양조위, 장쯔이","왓챠, 쿠팡플레이, 티빙"
"13","21 그램","사랑, 복수, 죄의 퍼즐 드라마
내 영혼의 무게는 얼마인가?
2004년 가을, 영화 사상 가장 위대한 경험을 한다.
사랑의 무게는 얼마인가?
대학교수인 폴 리버스(숀 펜)는 죽음을 눈앞에 두고 심장 이식만을 기다리고 있다. 그런 그는 아내 메리(샬롯 겐스부르)와 ‘삶과 죽음’ 사이에서 조심스런 결혼생활을 유지하고 있고, 그 와중에 아내는 인공수정을 통해서라도 아기를 갖고 싶어한다. 그러던 그에게 심장이식을 받을 기회가 주어지고, 그는 또 다른 삶을 부여 받는다.

복수의 무게는 얼마인가?
과거에 약물 중독자였으나 좋은 남편을 만나 사랑스런 두 딸과 함께 행복한 가정을 꾸미고 있는 크리스티나 펙(나오미 와츠). 그녀는 마이클(대니 휴스턴)에겐 착한 아내이며 두 딸들에겐 훌륭한 엄마이다. 그러나 행복한 그녀의 삶에 예기치 못한 사고가 찾아오고, 그녀는 한 순간 사랑하는 모든 것을 잃는다.

죄의 무게는 얼마인가?
경제적으로 궁핍한 잭 조단(베네치오 델 토로). 그는 아내 마리앤(멜리사 레오)과 함께 두 아이들을 키우며, 범죄자였던 자신의 힘든 삶을 종교를 통해 구원 받고 싶어한다. 그러던 중 교통 사고로 사람을 치게 되고, 순간의 실수는 자신의 가정은 물론 다른 사람에도 치명적인 불행을 야기시킨다.

하나의 교통사고로 얽혀들게 되는 이들…
결국, 그들은 삶을 위해, 혹은 영혼의 안식을 위해,
각자 다른 선택의 기로에 서게 되는데…","드라마, 스릴러","청소년 관람불가","2003","3.6","https://file.kinolights.com/m/content_poster/202401/17/9446ebc9-b44e-43b3-989a-9936c47c558e.webp","알레한드로 곤잘레스 이냐리투","숀 펜, 베니치오 델 토로","왓챠"
"14","2147","2147년, 화학 전쟁으로 인해 퍼진 바이러스로 인해 지구상의 모든 남성을 불임 상태가 되었다. 인류의 멸종을 눈앞에 둔 지금. 생물학자이자 과학자인 타니아는 최첨단 인공지능 VIDA의 도움을 받아 인간 종의 미래를 구하기 위해 스스로를 수정하는 방법을 모색한다. 그런데 그녀 앞에 아자리아스라는 의문의 남성이 나타난다. 어딘가 그늘이 있는 여행자인 그는, 어쩌면 지구에 남은 마지막 인간일지도 모르는 존재였다. 그의 등장으로 타니아가 계획했던 모든 것이 엉클어지기 시작한다.","드라마","15세 이상 관람가","2024","0","https://file.kinolights.com/m/content_poster/202502/27/c37a20b1-1bd2-4ffd-9b73-7c4874f45b23.webp","레티시아 토노스","파즈 베가, 잘센 산타나","왓챠, 쿠팡플레이"
"15","23 아이덴티티","23개의 인격을 가진 남자 케빈. 그는 언제 누가 등장할지 모르는 인격들 사이를 오가며 유일하게 자신을 이해하는 플레처 박사에게만 자신의 이야기를 꺼내 놓는다. 어느 날, 케빈은 지금까지 등장한 적 없는 24번째 인격의 지시로 3명의 소녀들을 납치하고 오래도록 계획했던 비밀스러운 일을 꾸민다. 소녀들이 그에게서 도망치려 할수록 케빈의 인격들은 점차 폭주하기 시작하는데…","스릴러, 공포","15세 이상 관람가","2016","3.3","https://file.kinolights.com/m/content_poster/202307/12/5c77498f-1087-49a4-9d9a-0a3a5a9e48eb.webp","M. 나이트 샤말란","제임스 맥어보이, 안야 테일러 조이","왓챠"
"16","28일 후","혼수상태에서 깨어난 짐은 병원, 그리고 런던 전체에 사람이 없다는 걸 알게 된다. 분노 바이러스 확산 28일 후, 이곳엔 대체 무슨 일이 있었던 걸까?","스릴러, 공포","청소년 관람불가","2002","3.7","https://file.kinolights.com/m/content_poster/202307/12/13b3cf66-5f05-495b-aefa-cdab25c1e6e2.webp","대니 보일","킬리언 머피, 나오미 해리스","왓챠"
"17","28주 후","인간을 좀비로 만드는 분노 바이러스가 영국을 휩쓸고 지나간 후 6개월이 지난 시점. 미국 군대가 바이러스와의 전쟁을 선언한 뒤 마치 그들이 승리를 거둔 듯해 보인다. 그리고 점차 도시는 질서를 되찾는다. 런던을 떠났던 시민들은 점차 도시로 돌아오고, 헤어졌던 가족은 재회의 기쁨을 나눈다. 하지만, 사실 바이러스는 죽지 않았고, 사람들이 모르는 사이 다시금 도시를 초토화 시키려고 하는데...","스릴러, 공포","청소년 관람불가","2007","3.3","https://file.kinolights.com/m/content_poster/202307/12/c553895a-fea3-4ffe-8e14-d12f3434d3fc.webp","후안 카를로스 프레스나딜로","로버트 칼라일, 로즈 번","쿠팡플레이"
"18","300: 제국의 부활","BC 480년 페르시아의 크세르크세스 황제는 100만 대군으로 그리스를 향해 진군한다. 육지에선 스파르타의 왕 레오니다스 가 이끄는 300명의 전사들이 싸우는 동안, 같은 시기 그리스의 장군 테미스토클레스 는 아르테미시아가 이끄는 엄청난 규모의 페르시아 해군과 살라미스 해협에서 부딪히게 되는데...","드라마, 액션","청소년 관람불가","2014","2.5","https://file.kinolights.com/m/content_poster/202307/12/fc1b789c-c2a0-41ca-b7f5-e57ba27b930b.webp","노암 머로","에바 그린, 설리반 스탭플턴","넷플릭스"
"19","30일","지성과 외모 그리고 찌질함까지 타고난, 정열. 능력과 커리어 그리고 똘기까지 타고난, 나라. 영화처럼 만나 영화같은 사랑을 했지만 서로의 찌질함과 똘기를 견디다 못해 마침내 완벽한 남남이 되기로 한다. 그러나! 완벽한 이별을 딱 D-30 앞둔 이들에게 찾아온 것은... 동반기억상실?","코미디","12세 이상 관람가","2022","3.4","https://file.kinolights.com/m/content_poster/202310/04/01624d0e-6950-419c-847f-861efb0bd381.webp","남대중","강하늘, 정소민","왓챠, 쿠팡플레이"
"20","365일","줄거리 : 지중해의 람페두사섬에서 라우라에게 첫눈에 반한 마시모. 보스의 자리르 물려받은지 5년 후, 마시모를 라우라를 다시 만나고 그녀를 납치한다.

1분 정보 : 블란카 리핀스카의 소설 <365 Dni>를 원작으로 하는 영화. 동명의 소설은 총 3부작이다. 폴란드 성인 로맨스 영화로 자극적인 묘사가 많이 나온다. 넷플릭스에 공개된 후, 전세계 유저들에게 많은 인기를 끌었다.","드라마","청소년 관람불가","2020","1.4","https://file.kinolights.com/m/content_poster/202307/12/8d64be29-4895-4d10-a769-31ca2b7b8766.webp","토마스 멘데스","미셸 모로네, 안나 마리아 시쿨카","넷플릭스"
"21","3월의 라이온 전편","가족을 잃고 홀로 살아가는 소년이 프로 장기기사가 된다. 그리고 세 자매를 만나면서 가족과 우정, 사랑에 대한 새로운 세상을 만나게 된다. <허니와 클로버>의 우미노 치카의 만화를 원작으로 한 <3월의 라이온>은 새로운 가족의 풍경을 보여준다.

[제21회 부천국제판타스틱영화제]","드라마","12세 이상 관람가","2017","3.3","https://file.kinolights.com/m/content_poster/202307/25/04badd2f-5d89-4504-98fc-39d715ad1268.webp","오오토모 케이시","카미키 류노스케, 카세 료","왓챠"
"22","3일의 휴가","하늘에서 3일의 휴가를 받아 내려온 엄마가 딸의 곁에서 지내며 벌어지는 기적 같은 순간을 담은 판타지 드라마","드라마, 판타지","12세 이상 관람가","2020","3","https://file.kinolights.com/m/content_poster/202310/20/d1c9f2d2-1980-49e4-b46f-a77df71d26e9.webp","육상효","김해숙, 신민아","넷플릭스, 왓챠, 티빙"
"23","461개의 도시락","15살 코우키는 부모님의 이혼으로 자유로운 영혼의 뮤지션 아빠 카즈키와 단둘이 함께 살게 된다. 아빠는 고등학교 3년 동안 매일 도시락을 싸 줄 것을 약속하고, 대신 코우키는 학교에 빠지지 않고 등교하기로 약속한다. 아빠의 도시락이 때로는 시한폭탄이 되기도 하고, 때로는 절친을 만드는 계기가 되기도 한다. 하지만 1년을 유급하여 한 살 어린 친구들과 같은 반에서 생활하는 것도, 부모님의 이혼도 적응이 안 되는 코우키는 방황하기 시작한다.","드라마","전체 관람가","2020","3","https://file.kinolights.com/m/content_poster/202307/12/c667b305-f087-4bd7-9465-0f796896b3ce.webp","카네시게 아츠시","미치에다 슌스케, 이노하라 요시히코","넷플릭스, 티빙"
"24","4월은 너의 거짓말","엄마의 죽음으로 피아노를 칠 수 없게 된 천재 소년이 목표도 없이 지내던 중 친구의 들러리로 나가게 된 데이트로 인해 인생이 바뀌어 가는 이야기","드라마, 코미디, 로맨스, 애니메이션","15세 이상 시청가","2014","4","https://file.kinolights.com/m/content_poster/202309/06/d9e6f8c5-7fab-416e-a939-ec8012e0d2c1.webp","이시구로 쿄헤이","하나에 나츠키, 타네다 리사","왓챠, 티빙"
"25","4월이 되면 그녀는","결혼을 앞둔 4월, 사라진 약혼자 야요이를 찾기 위해 나선 후지시로가 10년 전의 첫사랑 하루가 보낸 편지를 통해 진실한 사랑의 의미를 발견해 가는 로맨스 드라마","드라마, 로맨스","12세 이상 관람가","2024","2.6","https://file.kinolights.com/m/content_poster/202410/21/5c69974c-6ff5-4e4c-be77-66e41c40b24b.webp","야마다 토모카즈","사토 타케루, 나가사와 마사미","왓챠, 쿠팡플레이"
"26","500일의 썸머","운명적인 사랑이 나타나리라 믿는 청년 톰. 어느 날 회사에 새로운 비서로 나타난 썸머를 처음 보는 순간 대책 없이 사랑에 빠져들지만, 두 사람의 관계는 어딘지 어긋나고 삐걱거린다.","드라마, 코미디, 로맨스","15세 이상 관람가","2009","3.9","https://file.kinolights.com/m/content_poster/202307/12/46cb9bba-9c2d-4bc4-b9de-82d0d5d93327.webp","마크 웹","조셉 고든 레빗, 주이 디샤넬","쿠팡플레이"
"27","50가지 그림자: 심연","줄거리 : 크리스찬 그레이는 아나스타샤를 잊지 못하고 아나스타샤는 지금까지와 다른 새로운 관계를 원한다. 자신의 과거를 이야기하며 변하고 있는 크리스찬의 모습에 아나스타샤는 마음을 열고 둘은 서로 더욱 깊은 사랑을 나눈다.

1분 정보 : <그레이의 50가지 그림자>의 속편이자, <50가지 그림자>의 2번째 영화다. 전편보다는 훨씬 낫다는 평을 받고 있지만 악평은 여전히 많다.","드라마, 로맨스","청소년 관람불가","2017","2","https://file.kinolights.com/m/content_poster/202307/12/67965382-8e2d-4ff2-8bb7-4c61f87174ca.webp","제임스 폴리","제이미 도넌, 다코타 존슨","넷플릭스"
"28","50가지 그림자: 해방","줄거리 : 모든 과거를 잊고 서로에게 더 깊게 빠져든 아나스타샤와 크리스찬 그레이. 아나스타샤는 더욱 큰 자극을 원하고 상황은 역전된다.

1분 정보 : <50가지 그림자: 심연>의 속편이자, <50가지 그림자>의 마지막 영화다. 이번에도 OST 호평은 많으나, 영화는 악평이 많다.","로맨스","청소년 관람불가","2018","2.1","https://file.kinolights.com/m/content_poster/202307/12/e4ef0d0e-25aa-44e1-af5e-41bccc635a27.webp","제임스 폴리","다코타 존슨, 제이미 도넌","넷플릭스, 왓챠, 쿠팡플레이"
"29","5시부터 9시까지 ~나를 사랑한 스님~","외국에서의 삶을 꿈꾸며 영어회화 강사로 일하는 준코는 인생 최대의 인기 절정기를 맞이한다. 그러던 어느 날 가족에게 속아 맞선 자리에 나가게 되고, 도쿄대를 졸업한 엘리트 스님 타카네와 만난다.","코미디, 로맨스","15세 이상 시청가","2015","3.1","https://file.kinolights.com/m/content_poster/202307/12/715bed31-a7bc-4e06-91dd-93e7185a7ba6.webp","타이라노 마코토","이시하라 사토미, 야마시타 토모히사","왓챠, 티빙"
"30","6 언더그라운드","죽음을 위장하고 사라진 억만장자. 그가 전 세계에서 최정예 요원들을 선발한다. 6인의 고스트를 기다리는 대담하고 무모한 작전. 잔인한 독재자의 피로 세상을 물들여라!","액션","청소년 관람불가","2019","2.8","https://file.kinolights.com/m/content_poster/202307/12/8d57360f-25f2-4fe7-acd7-ff3131ce9914.webp","마이클 베이","라이언 레이놀즈, 데이브 프랭코","넷플릭스"
"31","60일, 지정생존자","갑작스러운 국회의사당 폭탄 테러로 대통령을 잃은 대한민국에서 환경부 장관 박무진이 60일간의 대통령 권한대행으로 지정되면서 테러의 배후를 찾아내고 가족과 나라를 지키며 성장하는 이야기","드라마, 스릴러","15세 이상 시청가","2019","3.7","https://file.kinolights.com/m/content_poster/202307/12/775ace36-4c7e-45df-aaaa-8798d7b897ce.webp","유종선","지진희, 이준혁","넷플릭스, 티빙"
"32","6888 중앙우편대대","제2차 세계대전 중, 미 육군의 유일한 흑인 여성 대대가 불가능에 가까운 임무를 수행한다. 타일러 페리가 실화를 바탕으로 연출한 드라마 영화.","드라마","12세 이상 관람가","2024","3.3","https://file.kinolights.com/m/content_poster/202409/02/2b7bd92b-b859-4d4e-972a-bf6c57121b2f.webp","타일러 페리","케리 워싱턴, 수잔 서랜든","넷플릭스"
"33","7:20 원나잇 포에버","어느 날 우연히 강렬한 밤을 함께 보내게 된 마누엘과 줄리아.
짧은 하룻밤의 만남이었지만 감정적으로도 따뜻한 교감을 느끼며 서로에게 점점 깊이 빠져든다.
둘은 각자 가정이 있음에도 불구하고 일주일에 단 하루 그들만의 은밀한 공간에서 뜨거운 섹스를 하고 맛있는 음식을 함께 먹으며 행복한 시간을 보낸다.
하지만 이 시간이 계속될 수 없다는 걸 아는데…","드라마, 로맨스","청소년 관람불가","2018","0","https://file.kinolights.com/m/content_poster/202307/12/ac66afdb-4624-4a01-b107-f09e9c1ac7d7.webp","마티아스 비제","에바 아리아스, 호세 게레로","왓챠, 티빙"
"34","7인의 사무라이","{때는 전국시대, 끊이지 않는 전란(戰亂)이 만들어낸 '노부시'(野武士: 산적 무리)의 횡포에 백성들이 떨고있던 그때..}

주민들은 황폐한 땅에서 어렵게 수확한 식량으로 한해 한해를 넘기는 빈촌에 살고 있다. 이 빈촌엔 보리 수확이 끝날 무렵이면 어김없이 산적들이 찾아와 모든 식량을 모조리 약탈해 간다. 싸워도 애원해도 소용이 없었다. 가만히 있을 수만은 없던 촌장의 결단으로 사무라이들을 모집하는데, 이들은 풍부한 전쟁 경험을 가진 감병위(勘兵衛)를 포함한 7명이었다. 감병위의 지휘하에 마을은 방위태세를 갖추고 전투훈련도 시작한다.

이윽고 산적들의 공격이 시작되어 치열한 사투가 벌어지고 산적들은 전멸한다. 하지만 마을사람들 다수와 7명 중 4명의 사무라이도 목숨을 잃는다. 마을엔 평화가 찾아오고 주민들은 벼농사에 여념이 없다. 노동요를 부르는 백성들을 보면서 감병위는 이렇게 말한다. ""또.. 살아남았구나.. 이번도 또, 진 싸움이였구나.. 이긴 것은 저 농부들이다. 우리들이 아니야""","드라마, 액션","15세 이상 관람가","1954","4.3","https://file.kinolights.com/m/content_poster/202307/12/bd73f450-482d-420d-881a-2ec0a19a4046.webp","구로사와 아키라","미후네 도시로, 시무라 타카시","왓챠"
"35","8 마일","“꿈은 높은데 현실은 시궁창이야”
디트로이트 8 마일 313구역
힙합 클럽의 랩배틀, 단 45초!
그 안에 상대를 쓰러트려야 최고가 된다.

그의 희망은 분노에서 시작된다.","드라마","15세 이상 관람가","2002","3.6","https://file.kinolights.com/m/content_poster/202307/12/6eac4f07-8dd4-464f-a1bd-f57ad7efcd1c.webp","커티스 핸슨","에미넴, 브리트니 머피","왓챠, 쿠팡플레이"
"36","84번가의 연인","가난한 작가인 헬레인 헨프는 대단한 독서광으로 읽고 싶은 고전들을 싸게 사보기 위해 영국 런던 84번지에 있는 중고책방에 편지로 책을 주문한다. 이를 계기로 서점 직원 프랭크 도엘과 평생을 정신적 교류를 나누는 정신적 연인이 되어 편지로만 희노애락을 함께 한다. 때론 귀한 책 한 권에 함께 감동하고 때론 분노하면서 사소한 주변 얘기도 곁들며 가며 인생을 논할수 있었던 건 프랭크, 헬레인 두 사람다 따뜻한 인간애와 문학과 예술을 사랑하는 정신적 여유에 유모가 풍부한 점에서 비슷하기 때문이다. 프랭크가 죽기까지 영국엔 한 번도 가보지 못했던 헬레인 프랭크가 죽고 난 후 어느날 문득 그토록 동경했던 그 서점에 가서 감상에 젖는데...","로맨스","12세 이상 관람가","1986","3.6","https://file.kinolights.com/m/content_poster/202307/12/96ba6784-9da6-4d78-a24e-8937e171644b.webp","데이빗 존스","앤 밴크로프트, 안소니 홉킨스","넷플릭스"
